strategy,date,code,name,industry,vol_ratio,buy,sell,ret,equity_after
A_daily_vol_proxy_3_8,2024-10-25,sh.600439,瑞贝卡,C19皮革、毛皮、羽毛及其制品和制鞋业,3.2037906450171176,3.83,3.96,0.03244255874673635,663754.123886886
A_daily_vol_proxy_3_8,2024-10-28,sh.600231,凌钢股份,C31黑色金属冶炼和压延加工业,4.901195406900681,1.9,2.02,0.06165789473684208,677396.0178541403
A_daily_vol_proxy_3_8,2024-10-28,sh.600782,新钢股份,C31黑色金属冶炼和压延加工业,3.6349040603521963,3.73,3.99,0.0682050938337802,692486.4886215614
A_daily_vol_proxy_3_8,2024-10-28,sz.000932,华菱钢铁,C31黑色金属冶炼和压延加工业,3.5682443881569244,4.46,4.69,0.050069506726457436,703564.4358117842
A_daily_vol_proxy_3_8,2024-10-29,sh.601801,皖新传媒,R86新闻和出版业,4.419125592990522,7.98,7.7,-0.03658771929824561,677822.6177260742
A_daily_vol_proxy_3_8,2024-10-30,sz.000592,平潭发展,C20木材加工和木、竹、藤、棕、草制品业,3.9205367353947005,2.47,2.54,0.026840080971659852,696015.4316702645
A_daily_vol_proxy_3_8,2024-11-01,sz.002620,*ST瑞和,E50建筑装饰、装修和其他建筑业,4.2033530096194,3.98,3.64,-0.08692713567839189,635512.8038072089
A_daily_vol_proxy_3_8,2024-11-05,sz.001306,夏厦精密,C34通用设备制造业,5.8951697463936625,55.62,55.01,-0.012467277957569243,632871.7655503227
A_daily_vol_proxy_3_8,2024-11-05,sz.002527,新时达,C34通用设备制造业,5.829580509486107,8.3,8.17,-0.01716265060240968,629236.070815289
A_daily_vol_proxy_3_8,2024-11-05,sz.300607,拓斯达,C34通用设备制造业,5.3493752680542235,15.59,18.99,0.21658851828094933,675117.6629903474
A_daily_vol_proxy_3_8,2024-11-08,sz.000798,中水渔业,A04渔业,3.0743645149340955,8.8,8.04,-0.08786363636363653,615799.3701466954
A_daily_vol_proxy_3_8,2024-11-21,sz.001300,三柏硕,C24文教、工美、体育和娱乐用品制造业,5.524576000783144,13.42,13.7,0.019364381520119267,627723.9440900652
A_daily_vol_proxy_3_8,2024-11-26,sh.603899,晨光股份,C24文教、工美、体育和娱乐用品制造业,7.244523366115299,30.9,31.5,0.01791747572815533,638971.1726222809
A_daily_vol_proxy_3_8,2024-11-28,sz.002862,实丰文化,C24文教、工美、体育和娱乐用品制造业,5.429903462462567,40.86,37.48,-0.08422148800783164,585156.0696699234
A_daily_vol_proxy_3_8,2024-12-02,sh.600382,广东明珠,B08黑色金属矿采选业,4.040767577260354,5.0,5.62,0.12250000000000011,656837.6882044891
A_daily_vol_proxy_3_8,2024-12-03,sh.601118,海南橡胶,A01农业,3.4908166368534594,6.55,5.96,-0.09157633587786257,626762.2938283625
A_daily_vol_proxy_3_8,2024-12-03,sh.600540,新赛股份,A01农业,3.353608049996454,5.5,4.77,-0.1342272727272728,582679.5280722749
A_daily_vol_proxy_3_8,2024-12-05,sh.601011,宝泰隆,C25石油、煤炭及其他燃料加工业,3.1282517609828746,3.22,3.6,0.11651242236024834,650568.9313477019
A_daily_vol_proxy_3_8,2024-12-06,sh.688600,皖仪科技,C40仪器仪表制造业,7.2271948882516925,15.0,16.6,0.10516666666666669,673374.9866632797
A_daily_vol_proxy_3_8,2024-12-06,sz.300352,ST信源,I65软件和信息技术服务业,6.606522819206024,6.71,7.07,0.05215126676602094,684684.3179594128
A_daily_vol_proxy_3_8,2024-12-06,sh.688628,优利德,C40仪器仪表制造业,3.417875126175717,38.0,38.6,0.014289473684210576,687783.0805008321
A_daily_vol_proxy_3_8,2024-12-09,sz.300404,博济医药,M73研究和试验发展,5.851555384779817,10.0,10.57,0.05549999999999994,706869.0609847301
A_daily_vol_proxy_3_8,2024-12-09,sz.300725,药石科技,M73研究和试验发展,3.5477496046923576,38.92,39.08,0.0026109969167523186,707766.9607360212
A_daily_vol_proxy_3_8,2024-12-13,sh.603216,梦天家居,C20木材加工和木、竹、藤、棕、草制品业,6.842847623060867,13.06,14.45,0.10493185298621738,782034.2594084752
A_daily_vol_proxy_3_8,2024-12-16,sh.600455,博通股份,P83教育,5.811261082182383,25.51,25.7,0.0059480595844765855,786685.8457805389
A_daily_vol_proxy_3_8,2024-12-19,sh.605086,龙高股份,B10非金属矿采选业,3.4278736346651013,38.67,35.01,-0.09614701318851832,711048.3513910567
A_daily_vol_proxy_3_8,2024-12-27,sz.300424,航新科技,C43金属制品、机械和设备修理业,5.886093182376279,16.98,18.73,0.10156242638398122,735120.2833389251
A_daily_vol_proxy_3_8,2024-12-27,sz.300775,三角防务,C37铁路、船舶、航空航天和其他运输设备制造业,4.660719739044319,24.8,25.59,0.030354838709677312,742314.869346011
A_daily_vol_proxy_3_8,2024-12-27,sz.000738,航发控制,C37铁路、船舶、航空航天和其他运输设备制造业,3.6249342205426847,22.15,22.2,0.0007573363431150905,742494.3702654178
